category,url
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/tout-pour-deneiger/cat_id_0005916.cat
cuisine-dexterieur,https://www.castorama.fr/cuisine-dexterieur/cat_id_0002246.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/balustre-et-claustra-maconnee/cat_id_2425.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/grillage/grillage-special-animaux-arbuste-barbele/cat_id_4159.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/parasol-tonnelle-store-de-terrasse-et-voile-d-ombrage/pergola-et-arceau/cat_id_1959.cat
luminaire-et-eclairage,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/accessoire-luminaire-exterieur/cat_id_0001653.cat
luminaire-et-eclairage,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/nos-collections-luminaires-exterieurs/cat_id_5998.cat
accessoire-de-plancha,https://www.castorama.fr/accessoire-de-plancha/cat_id_0003438.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/barbecue-et-plancha/barbecue/barbecue-electrique/cat_id_0001239.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/balancoire-trampoline-et-toboggan/bac-a-sable/cat_id_1279.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/balancoire-trampoline-et-toboggan/mobilier-de-jardin-pour-enfant/cat_id_457.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/pilier-muret-et-chaperon/pilier/cat_id_2458.cat
peluche-de-noel,https://www.castorama.fr/peluche-de-noel/cat_id_0002079.cat
village-de-noel,https://www.castorama.fr/village-de-noel/cat_id_0002068.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/pilier-muret-et-chaperon/muret-et-chaperon/cat_id_2459.cat
chevalet-pour-peinture,https://www.castorama.fr/chevalet-pour-peinture/cat_id_0005231.cat
peinture,https://www.castorama.fr/peinture/outils-du-peintre/nettoyage-et-rangement-des-outils-du-peintre/cat_id_0001981.cat
peinture,https://www.castorama.fr/peinture/peinture-interieure/preparation-des-murs-et-plafonds/protection/cat_id_2165.cat
outillage,https://www.castorama.fr/outillage/pistolet-a-peinture-decolleuse-et-decapeur/pistolet-a-peinture-electrique-et-machine-a-peindre/cat_id_1635.cat
peinture,https://www.castorama.fr/peinture/peinture-interieure/pochoir/cat_id_2179.cat
ruban-de-masquage,https://www.castorama.fr/ruban-de-masquage/cat_id_0004353.cat
peinture,https://www.castorama.fr/peinture/outils-du-peintre/brosse-metallique/cat_id_2000.cat
peinture,https://www.castorama.fr/peinture/peinture-interieure/relooking-meuble-et-objet/outil-de-restauration-du-meuble-bois/cat_id_2839.cat
peinture,https://www.castorama.fr/peinture/outils-du-peintre/outillage-pour-peinture-decorative/cat_id_3861.cat
malaxeur-de-peinture,https://www.castorama.fr/malaxeur-de-peinture/cat_id_0003606.cat
materiaux-et-gros-oeuvre,https://www.castorama.fr/materiaux-et-gros-oeuvre/cloison/protection-plexiglas/cat_id_5494.cat
outillage,https://www.castorama.fr/outillage/vetement-chaussures-et-protection/genouillere-et-jambiere-de-protection/cat_id_1931.cat
outillage,https://www.castorama.fr/outillage/vetement-chaussures-et-protection/masque/cat_id_1937.cat
outillage,https://www.castorama.fr/outillage/vetement-chaussures-et-protection/lunette-de-protection/cat_id_3850.cat
outillage,https://www.castorama.fr/outillage/vetement-chaussures-et-protection/botte-et-sabot/cat_id_2401.cat
grattoir-peinture,https://www.castorama.fr/grattoir-peinture/cat_id_0004334.cat
couteau-a-enduire,https://www.castorama.fr/couteau-a-enduire/cat_id_0004333.cat
harnais,https://www.castorama.fr/harnais/cat_id_0003814.cat
corde-et-longe-de-securite,https://www.castorama.fr/corde-et-longe-de-securite/cat_id_0003816.cat
bouchon-doreilles,https://www.castorama.fr/bouchon-doreilles/cat_id_0003801.cat
casque-anti-bruit,https://www.castorama.fr/casque-anti-bruit/cat_id_0003800.cat
kit-antichute,https://www.castorama.fr/kit-antichute/cat_id_0003815.cat
gants-tactiles,https://www.castorama.fr/gants-tactiles/cat_id_0003899.cat
gants-anti-froid,https://www.castorama.fr/gants-anti-froid/cat_id_0003798.cat
surchaussures,https://www.castorama.fr/surchaussures/cat_id_0003845.cat
chaussettes-de-travail,https://www.castorama.fr/chaussettes-de-travail/cat_id_0003827.cat
salopette-de-travail,https://www.castorama.fr/salopette-de-travail/cat_id_0003844.cat
pull-de-travail,https://www.castorama.fr/pull-de-travail/cat_id_0003821.cat
veste-de-travail,https://www.castorama.fr/veste-de-travail/cat_id_0003843.cat
bleu-de-travail,https://www.castorama.fr/bleu-de-travail/cat_id_0003820.cat
chaussures-de-securite-montantes,https://www.castorama.fr/chaussures-de-securite-montantes/cat_id_0003825.cat
pantalon-de-travail,https://www.castorama.fr/pantalon-de-travail/cat_id_0003818.cat
chaussures-de-securite-basses,https://www.castorama.fr/chaussures-de-securite-basses/cat_id_0003826.cat
gants-anti-chaleur,https://www.castorama.fr/gants-anti-chaleur/cat_id_0003888.cat
gants-de-menage,https://www.castorama.fr/gants-de-menage/cat_id_0003797.cat
gants-de-manutention,https://www.castorama.fr/gants-de-manutention/cat_id_0003799.cat
mousqueton,https://www.castorama.fr/mousqueton/cat_id_0003817.cat
peinture,https://www.castorama.fr/peinture/outils-du-peintre/perche-telescopique/cat_id_0001980.cat
peinture,https://www.castorama.fr/peinture/outils-du-peintre/bac-et-grille-de-peintre/cat_id_1997.cat
peinture,https://www.castorama.fr/peinture/outils-du-peintre/rouleau-a-peinture/cat_id_5023.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/balancoire-trampoline-et-toboggan/toboggan-et-trebuchet-pour-enfant/cat_id_1284.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/balancoire-trampoline-et-toboggan/trampoline/cat_id_1285.cat
casque-de-securite,https://www.castorama.fr/casque-de-securite/cat_id_0003803.cat
casquette-de-securite,https://www.castorama.fr/casquette-de-securite/cat_id_0003804.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/barbecue-et-plancha/barbecue/barbecue-gaz/cat_id_0001238.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/barbecue-et-plancha/barbecue/barbecue-charbon-de-bois/cat_id_0001237.cat
pinceau-brosse,https://www.castorama.fr/pinceau-brosse/cat_id_0004318.cat
pinceau-lasure,https://www.castorama.fr/pinceau-lasure/cat_id_0004319.cat
pinceau-a-rechampir,https://www.castorama.fr/pinceau-a-rechampir/cat_id_0004316.cat
cabane-plastique-enfant,https://www.castorama.fr/cabane-plastique-enfant/cat_id_0003913.cat
mur-descalade-enfant,https://www.castorama.fr/mur-descalade-enfant/cat_id_0004260.cat
canoe-kayak,https://www.castorama.fr/canoe-kayak/cat_id_0002248.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/barbecue-et-plancha/barbecue-fixe-et-four-a-pizza/grilloir/cat_id_1546.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/barbecue-et-plancha/barbecue-fixe-et-four-a-pizza/barbecue-fixe/cat_id_154.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/barbecue-et-plancha/barbecue-fixe-et-four-a-pizza/four-a-pizza/cat_id_0001752.cat
paddle,https://www.castorama.fr/paddle/cat_id_0004156.cat
football,https://www.castorama.fr/football/cat_id_0004149.cat
balancoire,https://www.castorama.fr/balancoire/cat_id_0004258.cat
aire-de-jeux-enfant,https://www.castorama.fr/aire-de-jeux-enfant/cat_id_0004257.cat
cabane-bois-enfant,https://www.castorama.fr/cabane-bois-enfant/cat_id_0003912.cat
pinceau-rond,https://www.castorama.fr/pinceau-rond/cat_id_0004322.cat
pinceau-plat,https://www.castorama.fr/pinceau-plat/cat_id_0004321.cat
jardin-et-terrasse,https://www.castorama.fr/jardin-et-terrasse/barbecue-et-plancha/accessoire-de-barbecue-et-plancha/cat_id_147.cat
plancha-electrique,https://www.castorama.fr/plancha-electrique/cat_id_0003389.cat
